title	type	year	author	country	seen
I Am Legend	film	2007	Francis Lawrence	usa	yes
I Am Omega	film	2007	Griff Furst	usa	no
Planet Terror	film	2007	Robert Rodriguez	usa	no
REC	film	2007	Jaume Balaguero, Paco Plaza	spain	yes
Resident Evil: Extinction	film	2007	Russell Mulcahy	usa	yes
Return of the Livig Dead: The Dead Have Risen	film	2007	Mitch Csanadi	usa	no
The Mad	film	2007	John Kalangis	NA	yes
Undead or Alive	film	2007	Glasgow Phillips	usa	no
Undead Pool (Attack Girls' Swim Team versus the Undead)	film	2007	Koji Kawano	japan	no
Undead Ted	film	2007	Daniel Knight	australia	no
Urban Decay	film	2007	Harry Basil	NA	no
Wasting Away (Aaah! Zombies!!)	film	2007	Matthew Kohnen	usa	no
Zibahkhana (Hell's Ground)	film	2007	Omar Khan	pakistan	no
Zombie Warrior	film	2007	Daniel Flugger	germany	no
Zombies! Zombies! Zombies!	film	2007	Jason M. Murphy	usa	no
After Sundown	film	2006	Christopher Abram, Michael W. Brown	usa	no
Automaton Transfusion	film	2006	Steven C. Miller	usa	no
Black Sheep	film	2006	Jonathan King	new zealand	no
City of Rott	film	2006	Frank Sudol	usa	no
Dead and Deader	film	2006	Patrick Dinhut	usa	no
Fido	film	2006	Andrew Currie	canada	no
Forbidden Siren (Sairen)	film	2006	Yukihiko Tsutsumi	japan	no
Gangs of the Dead (Last Rites)	film	2006	Duane Stinnett	usa	no
Hood of Horror (Gang of Horror, Snoop Dogg's Hood of Horror)	film	2006	Stacy Title	usa	no
Horrors of War	film	2006	Peter John Ross, John Whitney	usa	no
Mulberry Street	film	2006	Jim Mickle	usa	no
Night of the Dead (Night of the Leben Tod)	film	2006	Eric Forsberg	usa	no
Pathogen	film	2006	Emily Hagins	usa	no
Poultrygeist: Night of the Chicken Dead	film	2006	Lloyd Kaufman	usa	no
Shadow: Dead Riot	film	2006	Derek Wan	usa	no
Slither	film	2006	James Gunn	usa	no
Special Dead	film	2006	Thomas L. Phillips, Sean Simmons	usa	no
The Plague (Clive Barker's The Plague)	film	2006	Hal Masonberg	usa	no
The Quick and the Undead	film	2006	Gerald Nott	usa	no
The Zombie Diaries	film	2006	Michael Bartlett, Kevin Gates	uk	no
Wicked Little Things	film	2006	Joseph S. Cardone	usa	no
Zombie Night 2: Awakening	film	2006	David J. Francis	canada	no
Zombie Self-Defense Force (Zonbi jieitai)	film	2006	Naoyuki Tomomatsu	japan	no
Zombie Wars	film	2006	David A. Prior	usa	no
All Souls Day	film	2005	Jeremy Kasten	usa	no
Beneath Still Waters	film	2005	Brian Yuzna	philippines	no
Boy Eats Girl	film	2005	Stephen Bradley	ireland	no
Bubba's Chili Parlor	film	2005	Joey Evans	usa	no
Day of the Dead 2: Contagium	film	2005	Ana Clavell, James Glenn Dudelson	usa	no
Dead Men Walking	film	2005	Peter Mervis	usa	no
"Dead Things, segment ""The Wish"""	film	2005	D.T. Carney	NA	no
Die You Zombie Bastards!	film	2005	Caleb Emerson	usa	no
Die Zombiejager	film	2005	Jonas Wolcher	sweden	no
Doom	film	2005	Andrzej Bartkowiak	uk	yes
